reviewer,Candidate,URL,Message,manual_label,comment,chatgpt,check
jasper,蔣萬安,https://www.facebook.com/100044398990795/posts/685547879601839,#牽手作夥行 昨天舫亘拜訪大同區 ＃大龍市場， 適逢周末，遇到不少年輕爸媽帶著小孩出來採買，有夫妻肯定我的育兒政策，我會繼續為了台北的生育率努力，讓年輕夫妻願意生、敢生。 舫亘也和我分享，有支持者說自己住南部戶籍在台北，但為了支持蔣萬安，特地提前北上幫忙拉票，祝福團隊一定要高票當選。 今天剛好是選戰倒數5天，團隊在黃金週發起「#我們約好了」線上活動，與市民約好了，這個星期六請一定要出門投票，堅定支持＃六號蔣萬安，許台北一個更好的未來。 謝謝 陳炳甫 炳持初衷、 葉林傳副議長 服務團隊，候選人 柳采葳、 中山大同高世俊，幫我照料舫亘。 ＃6號蔣萬安 #你加台北就是無限 #我們約好了通關連結在留言區,1,NA,1,1
jasper,蔣萬安,https://www.facebook.com/100044398990795/posts/681785969978030,＃牽手作夥行 這兩天結束行程回到家， 我和舫亘又多了一個話題，就是分頭掃街的各種故事。 「＃牽手作夥行」第二天來到萬華 ＃東三水街市場。 舫亘告訴我在東三水街市場遇到好多 #宜蘭 同鄉，讓我這個宜蘭女婿聽著都覺得格外親切。 很多市民和我們夫妻一樣，非常期待「三寶」的到來。 舫亘跟我分享，有貼心的攤商準備「＃手工收涎餅」，要送給二寶當點心吃，也預祝肚子裡的「三寶」平安出生；還有水果店老闆娘特地準備代表平安的蘋果，希望她和孩子都能「萬事平安」。大家心意我都收到了，很謝謝你們疼惜舫亘、愛護「三寶」。 太太挺著肚子掃街為我打拚，真的很辛苦，我也深怕她過於勞累， 但舫亘還是一如既往地對我說：「既然夫妻一體，最後倒數階段，就是要一起打拚！」、「同仁一直提醒她懷了身孕不要常常鞠躬，讓她對民眾覺得不好意思。」 只能說，有像妳這樣的「牽手」真好。 ＃6號蔣萬安 ＃你加台北就是無限 謝謝 郭昭巖粉絲團 應曉薇 鍾小平 吳志剛議員團隊，以及 ＃福音里蔡岳樺里長、＃富福里許文輝里長、＃全德里趙素美里長候選人 今天幫我陪伴、照顧舫亘。,1,"talks about his own wife and other ppl being pregnant in general. Still counts, imo",0,0
jasper,蔣萬安,https://www.facebook.com/100044398990795/posts/680703866752907,今天我的「#牽手」舫亘，帶著還在肚子裡的「#三寶」當我的分身。 我和我的「牽手」舫亘相識、相愛，兩人步入禮堂、走進家庭成為父母，已經超過20個年頭，互相扶持的8000多個日子裡，有許多辛苦、但有更多的幸福。 我永遠記得，金融海嘯失業那天回到家，舫亘拍拍我的肩膀，輕輕地說「別擔心，我養你」；第一次選立委，和舫亘兩人傻傻地，把「蔣萬安」印成A4紙，別針別在衣服上，手拉著手就上街拜票。 過去我的兩次立委選舉，舫亘總是陪在我的身邊，盡她所能地給予我精神、行動上的鼓勵與支持。 即便這次舫亘懷有身孕，她仍不希望缺席，非常希望能在最後關頭做些什麼，在她的百般堅持下，才有今天的「#牽手作夥行」。 「人生低谷的時候，有妳陪著我攜手前行；披星戴月的生活，有妳點著燈光、煮一碗麵等我回家。」 我想對舫亘說，謝謝妳當我的「牽手」，我會繼續牽著妳的手。 #6號蔣萬安 #你加台北就是無限,1,"talks about his own wife and other ppl being pregnant in general. Still counts, imo",0,0
jasper,蔣萬安,https://www.facebook.com/100044398990795/posts/678496433640317,#向市民頭家報告 #台北市長候選人政見發表會 今天是台北市長候選人公辦政見發表會，每一位有心為台北服務的候選人，都可以站在台北市民面前，勾勒這座城市理想中的未來。 過去七年來，我們看到商圈沒落、市容老化，特別是面對新冠疫情的威脅，恐懼、焦慮、憤怒、無力，我全都能夠感同身受。 台北絕對不能，交給那個在疫情中讓人民遭遇困難與傷害、卻始終自我感覺良好的人來治理。 我要透過「#四項發展」、「#五大中心」，喚醒台北年輕的靈魂，一起改造老舊的市區，那才是台北人盼望的改變。 我要打造的台北，是國際的台北、生活的台北，還要打造科技的台北，解決台北人長期煩惱的交通問題，更要打造創新的台北，讓台北脫胎換骨，邁向國際大都會的格局，成為世界行事曆的重要一站。 更重要的是，台北會是一個將資源投注在民生議題的城市，無論長照或育兒、文化或體育，讓台北隊挺台北人，健康、快樂地享受城市的光榮時刻。 台北的命運，也是我的命運，因為她成就了現在的我，也正在培育我的下一代。 「#重振台北」絕對不是口號，因為我會用我的決心跟意志力，讓台北煥然一新。 14天後，就是台北這座城市路線抉擇的十字路口，我必須要盡最大的努力，讓善良、正直的力量戰勝邪惡的一方，讓市民久盼的陽光破曉而出。 我是那個全力以赴的蔣萬安，我是可以撐起台北的蔣萬安，是能夠把正向的力量，把善良與正直，帶進這座城市的蔣萬安。 請大家支持我，在11月26日#支持六號，讓我們一起創造、一起享受台北的美好與榮耀。 #6號蔣萬安 #你加台北就是無限,1,part of bigger talk about taipei,1,1
jasper,蔣萬安,https://www.facebook.com/100044398990795/posts/675454520611175,近日網路上流傳南港某幼兒園虐童影片，作為一名準三寶爸，我看了真的十分痛心！ 現在幼保師資人力缺口大，老師們往往承擔超量工作，我們體諒、也感謝大家的辛勞；但針對少部分不適任的幼保人員，台北市政府應該果斷明快的祭出嚴懲。 每個孩子都是全家的寶貝、是母親懷胎十月孕育的新生命，我們一定要拿出魄力跟解方，徹底杜絕虐童問題。 謝謝鍾小平議員今天協助兩位幼童的家長召開記者會，未來台北市政府及國民黨台北市議會黨團一定會聯手打造整體機制，加強訪視、輔導與稽核、提高幼托人員的情緒知能，多管齊下，讓孩子平安長大。,1,creating better environment for little kids,1,1
jasper,蔣萬安,https://www.facebook.com/100044398990795/posts/672656164224344,🎥影片：#萬華區行腳 我們常聽見「 #一府二鹿三艋舺 」，訴說 #艋舺 過往的繁華，在台北發展中佔有領頭羊的地位。 行政區調整後，西門町的流行時尚與老艋舺的文史刻痕同屬萬華，迸發令人迷戀的火花；#加蚋仔 的三寶與各大批發市場的重要性，揭示著萬華24小時循環不已的動力；龍山寺、祖師廟、青山宮，不但是地方信仰重心，也寓意著各族群的墾拓血淚，每年迎青山王的「 #艋舺大拜拜 」，更是台北的指標祭典。 然而，這兩年多的疫情重創萬華商家，天未破曉，我就走訪漁產拍賣市場，關心攤商朋友的生計，並提出中繼市場的改善方向；另與在地商圈交流未來振興的具體作為，看見老店接班人用創新思維再造品牌，並以商家串聯的方式共同面對艱難疫情，政府的角色更應該加強輔助的力道，讓在地商圈回到疫情前的活絡，甚至更加熱鬧。 地方創生團體也以最大力量推動社區營造，#糖廍文化協會 舉辦的「 #艋舺甘蔗祭 」剛好就在今天，有空的朋友歡迎到糖廍文化園區參加。 萬華不只有歷史孕育的地景、多元人文的氣息，還有繼往開來的韌性！這就是萬華的美與魅力之所在。 #萬安作伙行台北百面贏 ———— #投票倒數21天 #特製早安圖請見留言區 歡迎大家廣傳分享給自己的親朋好友，祝大家有美好的一天！🍀,0,萬華不只有歷史孕育的地景',0,1
jasper,蔣萬安,https://www.facebook.com/100044398990795/posts/671121077711186,大家都知道我是 ＃勞工立委，在國會面對勞權大小戰役，不管是一例一休、職災保險的修法，我都堅定站在勞工及工會立場，幫助小蝦米對抗大鯨魚，因此被稱為勞權「＃站神」。 週日大雨滂沱，我在各大工會夥伴及勞工朋友的見證下，推出為台北市量身訂做的勞動政見。 ＃勞動政見說明 👨‍🏫深化多元勞教 1⃣青年勞教扎根校園 2⃣新設立公司雇主4小時勞教 3⃣安排職災工人現身說法 4⃣市府及公營事業會員每年8小時公假參加勞教 👨‍👩‍👧‍👦完善職場托育 1⃣盤點市有不動產，增加公托設施 2⃣增加2歲專班 3⃣依法檢討教保人員待遇 🧑‍💻協助青年揚才 1⃣為青年投保傷害及醫療險，提供就業前保障 2⃣青年適用尋職津貼期間，提供共享運具折價券 3⃣公私協力開設企業所需職訓課程，幫助青年對接產業人才需求 🧑‍💼提高勞動參與率 1⃣輔導因照顧長輩而離職的市民重返職場，有意投入長照的市民，協助取得長照服務人員資格 2⃣針對因婚姻、育兒離開職場的市民，開設職訓課程 🪜保障職業安全 1⃣補實勞檢員員額，改善勞檢員留才；針對長工時多職災產業加強勞檢 2⃣擴大招募職災個案管理員FAP ⚖強化勞工後盾 1⃣修正勞工權益基金運用自治條例，擴大補助案件類型，強化勞工權益保障 2⃣為市府雇用的高危險職類人員額外投保意外險 🫂促進勞資協商 1⃣輔導勞工成立、加入工會，鼓勵雇主與工會簽訂團協 2⃣促進平台商家外送員溝通協調，保障外送員權益 🙆‍♀️提升勞動權益： 1⃣全力補足預算員額 2⃣市府雇員辦理業務原則上不委外 3⃣持續檢討市府運用勞務承攬情形 4⃣強化台北市勞資政社會對話 ＿＿＿＿＿ ＃承諾環保局企業工會六大訴求 👨‍🔧業務不委外：環保局業務以不委外為原則，如有實質需求，應跟工會協商 💪人力要補足：依照實際需求及預算員額，儘速補足人力 ⏱夜點要落實：依規定落實22:00-06:00出勤者領取夜點獎金 ⛑安獎要提高：安全獎金長年不調整，將向中央爭取提高安獎，讓同仁減少後顧之憂 🧹清獎拼第一：清潔獎金持續爭取優予編列 ⛈復舊要獎勵：極端氣候造成更多災情，需要環保局同仁清理排除，應優予編列 勞工是推動社會運轉的無名英雄，現在從立委到市長候選人角色轉換，我一定會始終如一的守護勞工。 #立委任內勞權修法請見留言區官網連結 #6號蔣萬安 #你加台北就是無限,1,NA,0,0
jasper,蔣萬安,https://www.facebook.com/100044398990795/posts/668890664600894,今天台北隊大集合，所有支持者一起大聲呼喚我的名字，我很感動。 七年前，我第一次參與選舉，是一個關心社會的律師，但是台北市沒有幾個人認識我；決定參選的時候，跟太太兩個人印出兩張A4紙用別針縫在衣服上，上面寫「#蔣萬安」三個字，雙連市場的攤商問我太太說，「#妳就是蔣萬安喔」，大家連蔣萬安是男是女都不知道。 經過了七年，我跟台北市民並肩作戰，一步一腳印，用心服務、用心問政，解決市民大大小小的問題，一點一滴建設台北，得到越來越多人的認同；今天，市民朋友就是萬安的頭家、就是萬安的貴人；沒有大家，就沒有蔣萬安，#保護台北市民就是蔣萬安最大的責任！ 今天，民進黨已經是民主制度下的極權政府，他們透過說謊、炒股、網軍、言論管制還有多數暴力，獲得了驚人的財富跟權力，連防疫這種人命關天的事情，都變成了民進黨的提款機。 我在國會，一次又一次質詢衛福部，希望他們迷途知返，不要再為了炒股票護航高端；為了人民知的權利，不要把疫苗採購合約都塗黑；但民進黨就是不肯悔改，如今只剩下民意的力量，可以教訓民進黨了。 我要問大家，是誰的團隊說萬華是疫情的破口？ 是誰買不到國際疫苗還擋慈濟？ 是誰拍板3+11，造成許多國人染疫身亡？ 就是陳時中！每一次都是陳時中！ 現在，他想要染指台北了，黑箱的勢力籠罩在台北上空，#我就是唯一有能力打敗陳時中的人。 從現在開始，正義的一方要跟邪惡的一方作戰，我們在街頭作戰、我們在廟口作戰、我們在台北的每一個角落作戰，每一張傳單，都是我們的武器；每一張選票，都可以對邪惡力量進行制裁。 我們絕對不可以讓惡勢力踏進台北一步！ 回頭看一看我們的家鄉，建城138週年的台北；這一座城市，不只是六都當中的台北，而是華人世界的燈塔，是中華民國的首都；他的定位，應該是跟 #首爾、#東京 並駕齊驅的國際大都會。 但我們看到的，是台北這座偉大的城市變得越來越黯淡！任何粉飾太平的手段，都改變不了台北正在退步的事實。 在外國人眼中，是怎麼看台北的？ 英國的《#經濟學人》評比，台北的宜居城市排名今年是全球第53名，整整暴跌20名；我們的市民，用腳投票；過去幾年，有二十多萬人成為「#脫北者」，總人口跌破250萬人；留下來的年輕人，卻不敢生小孩，八年來新生兒人數幾乎腰斬。 行動不便的長輩，等不到老公寓都更，要孩子背著他上下樓，一不小心父子兩人一起摔下來怎麼辦？ 年輕的爸媽，等不到公托公幼，生不起、養不起，台北死亡人數超過出生人數，人口結構「#生不如死」，還提前邁入超高齡社會。 有人過去在內湖當議員的時候，放寬了內湖科學園區的容積，結果內湖大量人車湧入，每天都是塞車地獄；#造成塞車的兇手，#現在居然敢告訴市民她最能解決內湖塞車問題？ 社會住宅號稱要蓋五萬戶，結果只剩一個月就要交接了，只蓋了一萬多戶，跳票跳票再跳票，我們不能讓這樣的團隊繼續執政，大家說對不對？ 台北必須脫胎換骨、徹底改變！ 每一天，從事公職的每一天，我都在思考怎麼改變台北。 我爬過幾十棟老公寓的樓梯，看到很多長輩被困在屋子裡，老屋囚老人；我下定決心要推動都更，要還給長輩一個自由進出的天地。 「#買一間厝不簡單，#扶一個家更困難」 我自己是準三寶爸，我知道父母擔心生不起，養不起，更擔心孩子出生以後的教育，所以我要推動生育獎勵金翻倍、縮小公私立幼兒園學費差距，符合條件的第二胎家庭，還可以申請社會住宅。 大家可以到網站上看我的政策，長照、觀光、文化、交通、防災、動保、青年創業，每一項政策的背後都有我的生命故事，我想要把最好的政策，獻給我最敬愛的市民。 我承認，台北市長選戰，是一場艱困的戰鬥。 但是我也相信，這場戰鬥的過程，會引領這座城市重新邁向偉大的道路。 參加完今天的「#台北隊集合」，你們就是台北隊的一員！ 我懇求所有的台北市民、所有的台北隊成員，把你們今天的熱情，帶回你們的社區、帶回你們的鄰里、帶回你們的家庭！ 讓我們心裡的那一股熱情可以燃燒下去，照亮台北的未來 這一次讓我們用手中的一票，找回台北的光榮，找回首都的驕傲，11月26號，讓我們一起贏回台北！ #6號蔣萬安 #你加台北就是無限,1,「#生不如死」,0,0
jasper,蔣萬安,https://www.facebook.com/100044398990795/posts/668330497990244,這一站，#北投區 #萬安作伙行台北百面贏 北投，是一個很特別的地方，它靜臥在台北的一隅，充滿著樂活閒逸與恬淡氣息。 只要驅車幾十分鐘，就可以到 #陽明山竹子湖 ，讓生活步調緊張繁忙的台北人，不需跑老遠就可以享受山林的悠閒，還可以大啖野味。 北投豐富的自然生態資源，讓休閒農業深具發展潛力，我與地方業者交流分享，提出我的 #商圈振興 構思與 #城市行銷 願景，期待未來讓這邊的觀光做得更有聲有色。 北投，除了是著名的天然溫泉鄉之外，也孕育了豐富的信仰人文；#普濟寺 的湯守觀音，百年來守護著這裡聞名的溫泉產業；#慈生宮 的五谷先帝、#關渡宮 與 #慈后宮 的媽祖婆長期庇佑著地方；眾多守護庄頭的獅陣，讓北投享有「 #獅穴 」之譽，看看我這次「 #弄獅 」是否有比較順手一點！ 細數北投的種種，無疑是令人迷戀的台北後花園！ ———— #投票倒數27天 #特製早安圖請見留言區 歡迎大家廣傳分享給自己的親朋好友，祝大家有美好的一天！🍀,0,「北投，除了是著名的天然溫泉鄉之外，也孕育了豐富的信仰人文」,0,1
jasper,蔣萬安,https://www.facebook.com/100044398990795/posts/667294701427157,盧秀燕 市長來開箱 蔣萬安市民基地八大亮點一次看 這次的市長選舉，我成立了「＃市民基地」，也提出競選Slogan「＃你加台北就是無限」；因為有「＃你」、有每一位「＃市民」，台北這座城市才有無限的可能。 市民基地即將在10/30啟用，我今天特地邀請盧市長來當第一位開箱嘉賓，請大家跟著盧市長的腳步，一起來逛一逛！ ↖第一站：＃幸福抓抓樂 夾娃娃機裡面的扭蛋裝了「＃萬安平安符」、口罩跟面紙等文宣，還有可口的小點心，來試試你的手氣吧！ 👫第二站：＃台北隊打卡牆 台北隊的精神包括公私協力、進步思維、國際化等，只要在這裡打卡，就可以兌換每日限量66杯的安安拿鐵。 ☕第三站：＃安安Latte站 來一杯香醇咖啡加上特製拉花吧！今天我準備了有盧市長頭像的「台中富市3」拉花，作為小驚喜！市民們平常可以來品嚐有萬安頭像跟號次拉花的特製咖啡。 ♾第四站：＃無限打卡牆 我的競選LOGO以及口號「你加台北就是無限」，展現出「市民是主角」；我跟盧市長聯手比出無限符號；希望未來台北＋台中跨域合作，開創無限可能。 🏃第五站：＃行腳臺北12區足跡牆、＃政策牆 牆面上放了「萬安作伙行，台北百面贏」跟市民互動的精彩瞬間；每次看到照片，就回想起各區民眾的熱情打氣！� 政策牆從獎勵生育、公辦都更、後疫情時代觀光復甦、長照、防災城市等多個面向，描繪出台北的未來。 📝第六站：＃給未來的台北願景牆 市民可以把對台北的期望，寫在便條紙上貼上來，每天都提醒我要跟市民「共圓台北夢」。 👩‍⚖第七站：＃民主小基地 兩間會議室作為市民陳情以及討論城市願景的空間，歡迎一起談談台北的未來。 👩‍👦‍👦第八站：＃親子小學堂 10月中旬我到台中參觀盧市長打造的「潭子國民暨兒童運動中心」，很認同親子友善的空間設計，這次我也在市民基地打造親子空間，歡迎孩子來看童書繪本跟玩積木。 10/30當天，市民基地將會正式啟用，歡迎大家一起來，大家共創台北夢！ 👉地址：台北市中正區新生南路一段124號 謝謝 立法委員林奕華 立法委員 李德維 秦慧珠 王鴻薇 I Love 闕枚莎《粉絲團》 台北市議員 張斯綱 徐弘庭 鍾小平 中山大同高世俊 跟盧市長一起來開箱，我們一起拚！ #6號蔣萬安,0,NA,0,1
