Candidate,time,URL,Message,社會住宅,幼托政策,長照政策,運輸,經濟發展,other,manual_label
蔣萬安,2022-07-23 14:00:01 CST,https://www.facebook.com/100044398990795/posts/598488831641078,年輕，就要勇敢地嘗試！ 青壯年人口流失，「脫北潮」已經是現在進行式！昨天我在中廣論壇「Team Taipei 聽台北」訪問台北市議會雙帥，台北市議員 李柏毅和李明賢 -阿賢之聲議員，針對年輕朋友遭遇的住房、就業跟交通問題，有很多討論。 明賢議員提到，台北市除了總人口減少，出生跟結婚的比率也再下滑，未來我們應該針對單身青年、新婚育兒等不同族群，提出更多元的租屋補貼方案，更要加快社會住宅的建設和都更的審議速度，讓年輕朋友能在台北落地生根。 另外我自己感受很深刻的是，過去在國外唸書的時候，他們相當重視實習制度，同學們在進入職場之前，就可以累積實務上的經驗，為就業做好準備。柏毅的建議很好，未來市府可以帶頭做起，與業者合作，提供更多實習機會，讓同學們畢業後不再徬徨。 另外蠻多年輕朋友和我反應，台北市缺乏即時、共享的休閒空間。我認為未來可以參考民間經驗，將青少年活動空間去中心化，加速盤點各區閒置的公有空間，打造城市創意學習空間平台，未來大家只要點開台北通App，就可以查詢自己周圍有哪些活動空間可以使用。 一個城市要進步，必須能夠留住人才，讓青年發揮所長。我希望未來的台北，是一座有活力、有創造力的城市，青年+台北就是希望無限♾️ #市政台北隊 #你加台北就是無限 #TeamTaipei #蔣萬安,1,1.0,,1.0,1.0,1.0,"1, 2, 4, 5, 6"
蔣萬安,2022-07-22 19:30:03 CST,https://www.facebook.com/100044398990795/posts/597954531694508,時間過得好快！明天就是得宇一歲生日了🎂 今天特別帶著他一起來逛 #台北國際婦幼用品展，跟哥哥姊姊們打招呼還順便挑了禮物！這次展期從今天開始到25號一共四天，有興趣的朋友們可以到世貿一館走走看看喔！ 針對嚴峻的少子女化問題，我在立法院就曾多次推動育兒政策相關的修法，包含《就業保險法》修正、《性別工作平等法》提高產假產檢假的天數，以及增加親職照顧假等法案，去年我也首先提出質詢，促成行政院擴大對不孕症婦女的人工生殖補助。 尤其台北市正面臨著人口銳減的「#脫北潮」，該怎麼讓更多年輕朋友能無後顧之憂，想生、敢生、有能力養，正是必須即刻面對的重要課題。除了持續發放育兒補助金以外，未來的市府更應該從爸爸媽媽的需求出發，擴大育兒友善空間，健全育兒環境，打造真正的 #親子宜居城市。 在未來的台北，事業或家庭，絕不再是選擇題！ #萬安日誌 #你加台北就是無限 #TeamTaipei #蔣萬安,,1.0,,,,,2
蔣萬安,2022-06-25 13:00:04 CST,https://www.facebook.com/100044398990795/posts/579560543533907,【#萬安日誌｜說愛永遠不嫌遲💕 做女性朋友最有力的靠山】 今年的母親節碰上疫情高峰，許多鄰里的慶祝活動都延期甚至取消。好在現在疫情稍微趨緩，我們「尚介認真」的徐信洲里長，也趕快把握時間，在今天補辦活動，向最可愛的姊姊妹妹們表達祝福和感謝！ 擔任立委六年多來，我一直在衛環委員會積極為婦女朋友爭取權益。無論是在職場的平等上，或是育嬰育兒各項措施、守護婦女人身安全，像是《跟騷法》的制定，都一一具體實現，要做大家最有力的靠山💪 祝福全天下的姊姊妹妹永遠青春美麗，在各自的領域實現自我、發光發熱，用女力撐起整片天！ #打造台北隊 #TeamTaipei #蔣萬安,,1.0,,,,1.0,"2, 6"
蔣萬安,2022-06-14 18:50:01 CST,https://www.facebook.com/100044398990795/posts/572384717584823,【#萬安談政事｜疫後台北下一步，別看表象我有實力找出解方】 昨天柯市長在市議會備詢的時候，選擇我和他一起困在無人島，但「我不是柯市長的 Wilson，他也不是我的湯姆漢克斯。」相信市民朋友對我的支持，並不是因為「就長得帥帥的而已」，看得是我一直以來的執行力，我也準備好和大家一起打造更好的台北、更好的未來。 這段時間我一直在思考，後疫情時代的台北該怎麼走下去。我持續請益商圈領袖、學者專家，借鏡國外經驗，一些想法逐步成形。各國入境標準開始鬆綁，下半年台灣也有可能開放國門，台北作為觀光大城、台灣旅遊第一站，疫情雖然造成衝擊，但沒有打散民間能量，台北絕對有飽滿活力可以整隊再出發！ 💡 TAIPEI REOPEN 經濟復甦計劃 我提出「TAIPEI REOPEN 經濟復甦計劃」，以 #刺激國內消費、#吸引國際觀光客、#擴大便民補助，三管齊下。除了觀光產業，「會展產業」更是重中之重，我們應該將「疫情低迷期」，轉化為「經濟復甦準備期」，把握時間更新展館設備、加強人才培訓，思考虛擬展場、ＶＲ互動等創新模式，透過會展帶動台北疫情後的經濟復甦，讓台北重新站上國際舞台。 除了發展，還要紓困，台北市未來無論是紓困、振興，都要做到「快速、直接、好申請」三要件，政府行政流程要更簡化，才能讓產業有感。 💡 「青銀換居」讓長輩住得好、青年住得起！ 「台北居大不易」房價居高不下讓台北市留不住年輕人才；三十年老屋占比高達七成，「老宅困老人」行動不便的長輩很難出門，也難以安老。所以我提出「#青銀換居」的概念，在社會住宅中保留一定戶數給老人家，而釋出的空間，則交由政府出面整修維護，「包租代管」出租給年輕朋友，讓年輕朋友租得起、住得起，社會住宅的效益能夠極大化。 疫情讓台北顛簸，但城市飽滿的靈魂依舊存在、首都蓄積的能量亟待迸發。我對台北和所有台北市民有信心，我有能力帶領台北隊，從疫情的危機走向轉型的契機！ #打造台北隊 #TeamTaipei #蔣萬安,1,,1.0,,1.0,1.0,"1, 3, 5, 6"
蔣萬安,2022-05-30 17:30:00 CST,https://www.facebook.com/100044398990795/posts/562667065223255,【萬安日誌｜請益郝市長！爭取國際級賽事讓台北站上世界舞台】 「台北一定要跟世界先進城市比，將台北的名字放上世界地圖！」 郝龍斌市長任內，不只完善許多台北的基礎建設，更成功辦理花卉博覽會、聽障奧運，建構台北市有能力舉辦大型國際賽事的基礎；而當時聽障奧運的場館維修、整建，更奠定了後續舉辦世大運的根基，讓台北能夠一次又一次站上國際舞台！ 今天上午我特別拜會郝市長，他提到，台北身為首都，一定要跟世界先進城市比，更需要一位有國際觀的首長，「辦大型活動不只是為了辦，更重要的是將台北的名字放上世界地圖！」接下來應該持續規劃、爭取國際賽事及展覽，一棒接一棒；我也強調，未來我一定和所有台北市民攜手共組「台北隊」，讓台北站上世界頂尖都會的行列。 事實上，郝市長任內還推動了非常多政策，到現在市民朋友仍很有感。像是「祝你好孕」政策中的育兒津貼，以及一區一個親子館、一區一個托嬰中心，逐步為台北市建立友善生育環境，也給予全職育兒家庭支持協助。 此外，「市民當家熱線1999」也是郝市長時期設立，讓台北市政府從「管理型」轉變為「服務型」，成為全國地方政府仿效的對象，更時時刻刻考驗著市府團隊為民眾解決問題的執行力！郝市長也勉勵我，接下來應該重整現在的1999熱線，讓民眾的需求能夠真正與市府施政對接，更可以避免市府的「末梢神經麻痹」。 這不是我近期唯一一次拜訪郝市長，每次都能在市政上獲得很多提點、獲益良多；適逢端午前夕，今天更收到郝市長的「包中」祝福。未來我請益的腳步不會停歇，絕對要讓台北不只是六都之一，更是帶領台灣衝向國際的領頭羊。 #TeamTaipei #打造台北隊 #蔣萬安,,1.0,,,,1.0,"2, 6"
黃珊珊,2022-09-17 21:48:48 CST,https://www.facebook.com/100044528885416/posts/626234938870797,大家還好嗎？ 稍早台東發生芮氏規模6.4地震，請大家遠離容易傾倒的傢俱。北市府會隨時追蹤災害情形，請大家安心。,,,,,,1.0,6
蔣萬安,2022-07-03 11:51:00 CST,https://www.facebook.com/100044398990795/posts/585037942986167,【#講講蔣萬安｜#EP4直播精華｜燃燒吧脂肪！重訓離你其實沒有那麼遠】 「講講蔣萬安」EP4 請來一位小鮮肉，和大家聊聊你不知道的健身教練日常。我們的來賓 Ace 不只是專業教練，還成功奪下今年 WNBF 國際自然健美賽事的量級冠軍喔🏆 健身的風氣越來越盛行，到底重訓的好處是什麼？怎麼練才能安全到位不受傷？「深蹲」可以用到全身肌肉，是CP值很高的訓練動作，也很適合長輩鍛鍊肌力，預防老化，就讓Ace帶著畹鎣示範一下標準的深蹲，教大家怎麼蹲好又蹲對！ 受疫情影響，健身房生意雪崩式下跌，政府可以怎麼協助產業復甦，讓大家一起愛上運動，活得更健康？所有精彩內容就在這集「講講蔣萬安」！ ✅這集談什麼？ 🗨️這位巨巨你好，健身教練的日常。 🗨️只有肌肉不會背叛你，大家都要做重訓？ 🗨️在家做運動，疫情下的健身產業衝擊？ 🗨️疫情後的健身產業與全民運動政策。 #只有肌肉不會背叛你 #講講蔣萬安 #畹鎣來代班 #蔣萬安,,,,,1.0,1.0,"5, 6"
陳時中,2022-11-26 09:37:51 CST,https://www.facebook.com/100720289384352/posts/150958064360574,早安，今天是投票日，我投好票了，你呢？ ​ 在下午四點結束投票前，邀請大家趕快出門投票，用行動決定台北與台灣的未來，做一位勇敢自信的台北人！ ​ #記得攜帶投票三寶,,,,,,1.0,6
侯友宜,2022-11-02 17:30:48 CST,https://www.facebook.com/100044642490075/posts/683001896531221,以運動和世界交朋友，#2025世界壯年運動會 在雙北！ 今天我代表四百萬的新北市民和 柯文哲 市長一起從國際壯年運動總會(IMGA)執行長Jens V. Holm手中接下世界壯年運動會會旗，內心雀躍又感動！這不只雙北重要的里程碑，更是肩負重責大任的起始點，繼2016國際少年運動會、2017世界大學運動會後，新北市和台北市將再度藉由舉辦大型國際運動賽事讓台灣感到驕傲！ 這不只是一場運動會，一場友誼賽，更是一次讓來自世界各地的朋友好好認識台灣的機會。就像我的名字侯友宜的諧音「厚友誼」，要展現台灣人民的熱情，張開雙手擁抱這些好朋友，讓他們認識、了解我們的在地文化和城市風貌，繼而愛上台灣這塊土地。 運動無界、人生無限，讓世界看見台灣，2025世界壯年運動會，我們準備好了，用我們的熱情和活力，讓台灣成為在國際舞台上閃爍的光芒！ #厚友誼,,,,,,1.0,6
林佳龍,2022-09-27 00:41:25 CST,https://www.facebook.com/100044464388138/posts/641492134009594,我家老爺子真的是「好廖耶」，一生為善，令人敬愛！ 相信將化作千風，與我長相左右，並在天上守護大家！ 分享婉如對廖董的介紹與光合之行：,,,,,,1.0,6
黃珊珊,2022-11-23 09:00:44 CST,https://www.facebook.com/100044528885416/posts/676278127199811,【黃媽成長篇】我們家小孩都工作狂，沒工作就難過，有工作才快樂！｜TaipeiK33PGoing ​ 15歲時，我自己北上念書，接著考上律師，並參選市議員。沒有背景、沒有家世，這一路上，我靠自己的努力搏鬥至今，指引我前進的，就是熱情。 ​ 我媽總說我們幾個小孩都是工作狂，確實，只有為了理想燃燒，我才能感受到活著，但最得感謝的，還是家人默默溫暖的支持。 ​ 作為一個工作狂，我希望能早點回去上班，繼續為了熱情而燃燒！ ​ #黃珊珊 #八號黃珊珊 #偉大市民齊步共贏 #TaipeiK33PGoing,,,,,,1.0,6
陳時中,2022-08-24 15:09:20 CST,https://www.facebook.com/100720289384352/posts/122396643883383,捐血一袋，救人一命！今天與台北市副市長黃珊珊一同參與 #內科千人捐血活動，相當感謝 #內湖科技園區發展協會 ，以及所有響應的企業朋友們。內科熱情辦理七屆捐血活動，不僅是經濟發展與科技創新的先鋒，更是投入社會公益的典範。​ ​ 因為疫情，民眾捐血意願受到影響，但靠著大家的熱情，今天將熱血匯集起來，這就是台灣社會的正向力。事實上，無論是推動政策或參與選舉，雖然每個人立場不同，但我想大家總會藉著公共參與來表達自己對社會的關心；以自己所處、所在的位置，盡最大的努力幫助他人。​ ​ 以政府來說，必須顧及國家利益與遵守國際慣例上取得疫苗；而藥廠方面，則是在嚴峻疫情與各國搶購疫苗的時刻，盡可能提供台灣疫苗，簽訂保密協議，大家都各司其職。同理，一位立法委員也應當明白：​ ​ 📌疫苗採購從未列入「絕對機密」，「保存」不是保密，「保存」更不是封存，「保存」也能調閱。​ ​ 擔任疫苗採購調閱小組召集人，更該瞭解小組的運作要點、調閱範圍跟條件，均為朝野共識的決議。與事實站在一起，而非到了選舉時才刻意置換概念，平添社會大眾的誤解與混淆。​ ​ 我沒有任何公職，也不是現任立委。但還是想為台灣民眾的權益，誠心誠意地發聲──後續次世代疫苗採購，攸關國家利益及民眾健康。有責任感的政治人物與政黨，不該因一己之私，用去脈絡化的資訊詆毀全體防疫團隊的無私付出。面對後疫情時代，我們需要更多的同理心，把事做好，一起向前走。​ ​ #把事做好​ #台北更好​ #台灣共好,,,,,1.0,1.0,"5, 6"
