Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
柯志恩,KoChihEn,100044111871935,PERSON,TW,我是柯志恩，你認識的我，可能是節目主持人、可能是教授、可能是學務長、可能是立法委員，目前的角色就是在高雄打拚的一介市民。,2016-02-01 05:49:54,136403,141755,2022-11-26 20:32:39 CST,2022-11-26,20:32:39,Photo,"61,708",47935,6042,361,1732,2,13,95,3,5525,,-,0,0,0,N/A,https://www.facebook.com/100044111871935/posts/706675704146152,各位我最愛的高雄鄉親，大家晚安！ 柯志恩，深深一鞠躬，感謝各位4個月以來，從街邊到廟口的支持和力挺。 希望未來，還有這個機會跟榮幸，將我的善良、勇氣、智慧和汗水，為高雄鄉親，繼續打拚！ 我剛剛也和 陳其邁 Chen Chi-Mai 市長通過電話，恭喜並祝福他順利連任，成為高雄這座偉大城市新一屆的市長。盼望陳市長能帶著市民的託付，重現高雄的風華。 但作為一位高雄市民、一位母親，我也想再懇託陳市長，高雄的空污、水質、路平、低薪、北漂、公安，南高雄和原縣區的人口流失以及資源差距，一定要加以著重。 這是許多高雄鄉親的心聲，他們沒有黨派，只有一個渺小的願望，就是希望日子能再好過一些。 陳市長也承諾未來很多的意見可以互相交流。我們倆達到最大的共識就是要一起讓高雄這麼美麗、偉大的城市進步、前進。 柯志恩可以落選，但高雄鄉親的好日子必須有著落。高雄可以齊步共贏，這場選舉，可以不是候選人之間的輸贏，而是272萬偉大高雄市民的集體勝利。 柯志恩是屏東女兒，上半輩子並不是高雄人，但這四個月以來，真的接受到太多高雄鄉親的照顧。希望柯志恩可以用下半輩子，來當一個高雄人，知恩、感恩、報恩，付出所有心力，回報給所有我們的高雄鄉親。 高雄很大，柯志恩雖然走遍38區，走破3雙鞋子，但還有好多美麗的地方沒有去，還有好多鄉親沒有拜訪，讓柯志恩未來再走破更多鞋子，好嗎？ 未來，如果在高雄街邊看到柯志恩，記得跟我打個招呼，讓我再當面感謝一下大家。 再次，謝謝各位高雄鄉親，感謝所有這一路以來照顧柯志恩的朋友，謝謝你們四個月以來給柯志恩的鼓勵、支持。 謝謝大家，感謝偉大的高雄市民！ ✅明後天都會進行感恩車隊掃街，詳細路線在留言處。,https://www.facebook.com/photo.php?fbid=706675670812822&set=a.547433460070378&type=3,,,,,,,,"61,708",4.53
柯志恩,KoChihEn,100044111871935,PERSON,TW,我是柯志恩，你認識的我，可能是節目主持人、可能是教授、可能是學務長、可能是立法委員，目前的角色就是在高雄打拚的一介市民。,2016-02-01 05:49:54,104919,110284,2022-09-30 22:35:24 CST,2022-09-30,22:35:24,Photo,"53,709",45310,3497,1207,255,8,43,4,5,3380,,-,0,0,0,N/A,https://www.facebook.com/100044111871935/posts/664261908387532,今天我深深感動，也深深感慨，四年前三山造勢，我每一場都在，在夢時代之前，我看過國民黨的榮耀，在夢時代之前，也看到國民黨的哀傷。 我從來不知道，四年之後，在歷經罷韓、歷經補選、歷經公投，高雄這麼一場艱困選戰，是由一個當初抬轎的人來拚。 很多人跟我講民進黨這麼大、這麼強，妳不會怕？我請問所有的人，你們會怕嗎？你們不怕我就不怕，台上的人都不怕，怕就不會贏，要拼才會贏！對不對！ 我是南部出生長大，北漂四十年，但四十年後，高雄子弟仍繼續北漂，陳其邁說兩年拼四年，但市民已經給民進黨二十幾年，二十幾年民進黨沒有把高雄變好，好的都是他們！ 我知道今天是很艱苦的戰役，但柯志恩承載不是柯志恩個人，承載的是所有想要過好日子的高雄市民，所以我不會怕，我的勇氣是所有大家給我。 陳其邁說他兩年拼四年，但這兩年高雄年輕人少了四萬人，如果再四年，不知高雄會剩多少年輕人！ 高雄有很多勞工需要政府照顧，我去菜市場去夜市，叫臭豆腐叫蚵仔煎，旁邊老闆會切一塊豬肝切一塊排骨，跟我說要加油！日子真的很難過。去菜市場，賣青菜歐巴桑跟我說，妳一定要把高雄翻轉過來，這些都是對柯志恩的期待。 我知道有很多人不喜歡國民黨，被嗆聲說，民進黨這麼爛！國民黨在幹什麼？ 但我要問大家，高雄這兩年來生活有更好嗎？薪水有更好嗎？不是一個台積電來就能解決，還有很多事情必須面對，但現在的市政府不願面對問題，只想解決提出問題的人。 高雄九月停電八次，自殺率，還有低薪及人口流失率，2017年只差台中三百多人，現在差台中七萬多人，如果做的真好，為何北漂青年人留不住，這表示高雄還有很多問題必須面對。 以前地球儀上看得到粗體字高雄，以前說北高北高，高雄的榮耀在那裡？絕不是唱衰市政府，而要求勇敢面對！ 柯志恩是兩個孩子的媽媽，教育學生二十多年，面對孩子和學生始終如一，真誠無誤站在這個地方，發誓如果能有機會帶領高雄，一定用我的教育，用我的專業，讓高雄的孩子絕對有國際競爭力，絕對讓高雄市，無論是原縣區還是原市區，一定資源平均，一定讓窮孩子得到更好照顧及教育！ 柯志恩第一份工作是繞著地球跑，二十四歲帶著三個攝影師，把全世界風景帶回台灣，我再次承諾要讓全世界看到我們高雄的美及高雄的好，讓全世界都知道我們高雄。 我希望我們高雄的經濟就像夢時代的旋轉輪盤，不斷轉動，不會是煙囱的燈火，我們要點亮整個高雄，柯志恩拜託大家要給我們一個機會。 快篩及疫苗，大家記住民進黨所有事情，寵豬上竈，寵子不孝，要給民進黨更高的標準 ，如果你對民進黨拆心，那就更直接變心好嗎！ 民進黨失去台北，失去新北不會痛，要讓他們失去高雄才會知道反省， 請大家相信柯志恩，柯志恩是正派清廉！ 柯志恩用我天上的父母發誓，對孩子發誓、對學生發誓，高雄的未來不是未來四年，而是未來十年二十年，讓我們教育翻轉這一切！ 懇請所有人一定要讓議會過半，請各位再給國民黨機會，讓柯志恩重新帶領高雄，讓高雄再次奮起，讓柯志恩和新北的侯市長、台中盧市長，從北到南，讓大家再一次看到高雄。,https://www.facebook.com/photo.php?fbid=664254308388292&set=a.547433456737045&type=3,,,Photos from 柯志恩's post,,,,,"53,709",3.95
柯志恩,KoChihEn,100044111871935,PERSON,TW,我是柯志恩，你認識的我，可能是節目主持人、可能是教授、可能是學務長、可能是立法委員，目前的角色就是在高雄打拚的一介市民。,2016-02-01 05:49:54,104163,109532,2022-09-28 16:04:15 CST,2022-09-28,16:04:15,Native Video,"50,003",41126,4028,2180,247,29,133,12,56,2192,owned,Yes,258057,293440,0,00:04:55,https://www.facebook.com/100044111871935/posts/662467651900291,演講，就是要在街邊！ 講話，就是要夠直接！ 我沒有民進黨的資源和無窮的財力物力，我唯有的，就是一顆願意為基層市民發聲的心！ 我從不偽裝我的個性，有話直說，仗義執言！ 因為我知道，我承載的不是我一個人，而是所有盼望日子變好的市民心聲！ 日子好過，我們的人口不會越變越少；日子好過；我們的自殺率就不會六都第一；日子好過，我們的年輕子弟就不會不斷北漂。 再次拜託大家，所有不滿現狀，希望看到高雄變好、日子好過的朋友。 9月30日（五）晚上7點，高雄夢時代旁空地，讓我們一起挺身而戰，讓高雄再起！ 無論颳風下雨，我們一起拚，把這一天，變成扭轉的開始👊,https://www.facebook.com/KoChihEn/videos/491503222830288/,,,演講就是要在街邊！柯志恩熱血開講！,,,,,"50,003",8.6
柯志恩,KoChihEn,100044111871935,PERSON,TW,我是柯志恩，你認識的我，可能是節目主持人、可能是教授、可能是學務長、可能是立法委員，目前的角色就是在高雄打拚的一介市民。,2016-02-01 05:49:54,100458,105897,2022-08-17 19:44:08 CST,2022-08-17,19:44:08,Live Video Complete,"49,908",39336,7252,1509,1073,20,78,16,35,589,owned,Yes,280195,339061,0,01:18:30,https://www.facebook.com/100044111871935/posts/742945970130546,六合夜市💪🏻,https://www.facebook.com/KoChihEn/videos/742945970130546/,,,,,,,,"49,908",7.29
柯志恩,KoChihEn,100044111871935,PERSON,TW,我是柯志恩，你認識的我，可能是節目主持人、可能是教授、可能是學務長、可能是立法委員，目前的角色就是在高雄打拚的一介市民。,2016-02-01 05:49:54,135561,140910,2022-11-25 21:58:14 CST,2022-11-25,21:58:14,Photo,"44,434",38248,2150,445,521,4,13,6,2,3045,,-,0,0,0,N/A,https://www.facebook.com/100044111871935/posts/706031957543860,由衷感謝各位鄉親，在這四個多月裡，對柯志恩不離不棄。在此，先深深一鞠躬。 柯志恩一路走來，面對擁有金山銀山的民進黨，行程如果太早公開，邀請方都會被施壓，然後私下請我們先不要去。這就是民進黨在高雄的所作所為，這就是國民黨在高雄的挫敗。 面對挫敗，我曾經懷疑，高雄人會接受北漂40年的人嗎？但這一路走來，我非常感謝當我靠山的高雄鄉親。 大港女兒什麼沒有，就是有在面對驚滔駭浪裡，乘風破浪的勇氣 我沒有人脈、沒有金脈、沒有錢脈，但為了高雄下一代的命脈，讓我們一起力抗陳其邁！ 過去25年，我是一位老師，是一個教育家。直到5年前，我才進入政治圈，成為政治人物。 教育家從政，我不是第一個人，也不是最好的那個人。我心目中最好的政治家，就是我的父親柯文福。 50年前，我的父親從一介老師、一介校長，被經國先生提拔年輕人，徵召參選屏東縣長，並有幸服務屏東鄉親９年。 因此對我來說，政治就是家人的溫暖、就是照顧服務、就是知恩感恩報恩。 教育家，可以透過教育，引領年輕人走向更好的人生；而教育家，更可以透過政治來實踐教育理念，引領社會走向更好的未來。這就是經國先生、我的父親告訴我的。 大家都知道，我剛宣布投入高雄市長選舉就染疫，一直到7月底才重新投入。那時剛開始跑選舉，其實大家都不太認識柯志恩。男的女的圓的扁的都不知道。 但8月我剛康復，去掃三民區的一個菜市場，有一位民眾突然走過來，送了我一個別章。是我父親50年前競選縣長的別章，別章上的福，我一眼就認出來，也一眼就落淚。 這位鄉親，從屏東搬來高雄住已經很久，但仍然保存50年前，對很多人來說，這麼不起眼，三五天可能就丟掉的競選小物。 這告訴我們，如果政治人物如果用心做、認真做，造福百姓，50年後、100年後，都還會有人記得你，有人感念你。 我的前半輩子，應該還算是個不錯的教育家，沒有辱沒我父親的名聲， 無論明天選舉結果如何，都會用我上半生的所聞所學，續留高雄、長住高雄，回報給一路挺我的高雄鄉親。柯志恩的恩，就是感恩，就是報恩。 如果有幸當選，有好好服務高雄鄉親，讓高雄鄉親過好日子，保存50年比較難，但請各位鄉親幫我保留柯志恩的文宣4年就好！ 我們這一輩人，見證過南台灣的繁榮、高雄的繁榮，但我很難過的是，現在年輕的一代南部子弟，卻只看過台北的風華。 家鄉，變成是父母、親人居住的地方，而不是自己生活的地方。家裡煮的飯，桌上碗筷永遠要收起來一付。 我時常說，陳其邁市長執政2年多以來，高雄少了4萬6千位年輕人。高雄的嬰兒出生率是六都第二，但我們人口成長率，卻是六都倒數第二。 但這不只是人口的流失，高雄失去的，是我們最精華的人才，是我們下一代的未來。 我們的產業，失去升級的機會，我們的職場，失去就業的機會；我們的長輩，少了孩孫的陪伴，我們的社福，必須支出更多的預算。 如果高雄有提供好的環境，讓高雄年輕人願意留在家鄉，這些問題都不會存在。 高雄，不應該是返鄉的終點站，而應該是生活的起始站。 陳其邁市長可以列出玲瑯滿目的數據，可以說自己拚拚拚、緊緊緊，但再多的大內宣都騙不了人。只要青年繼續流失的一天，高雄的繁華就不會再回來。 教育的競爭力，才是高雄人的未來，這才是未來10年、20年要打拚的。 再好的城市，都不會沒有問題，但高雄的問題，民進黨選擇視而不見。只要有人挺身而出，民進黨就會傾巢而出，不解決問題，只解決提出問題的人。 停電不是缺電，都是小動物咬的；空污嚴重不用管制鋼鐵業，反正都是北部中部飄下來的；水質差，水管6成超過使用年限沒關係，人民自己會去加水站；路不平沒關係，在大順路上蓋條輕軌要你去搭；治安、公安不好沒關係，反正市長會一直震怒；房價物價一年漲20%沒關係，反正市長會跟你說薪水3年漲8%。 國際疫苗沒有沒關係，反正可以打沒認證的高端；台灣染疫死亡率居高不下沒關係，防疫指揮官一句我負責就去拚選舉；當很多年輕人被詐騙集團騙，蔡總統只顧選舉。 政黨做不好就下台，天經地義。唯有讓每一個政黨都知道他們可能失去權力、可能下台，我們的民主才會進步，人民的生活才會進步。 民主是什麼，民主是一群人選出一小群人，來讓所有人的生活更好。但民進黨的民主是什麼？民進黨的民主，就是選出一小群人，用全部人的錢讓少數人歌功頌德，讓大多數人閉嘴聽話。 民進黨的字典裡，民主沒有監督制衡，民主就是民進黨做主。 高雄的在野制衡力量，就由柯志恩來扛起。我承諾，只要柯志恩在，就永遠會有人敢為公理正義挺身而出，秉持愛與榜樣，當高雄鄉親永遠的靠山。 投給柯志恩，就是為國為民不為黨，投的是價值、善良、勇敢，對抗不良的政府。陳其邁怕得罪中央、怕得罪財團，不敢做的事，讓柯志恩來幫大家做！ 柯志恩參選以來，針對市政問題，我跟陳其邁市長有許多討論，但我絕不做任何人身攻擊，更從未牽扯家人隱私。這不只是作為一個領導人的品格，這是台灣失去已久的選風，從柯志恩開始，找回中間的力量。 謝謝鄉親願意再次站出來，當柯志恩靠山，過去或許傷痕累累，但現在已經渾身是膽，1126讓全高雄、全台灣、全世界，見證高雄的奇蹟、人民的力量，這是我們堅守的正道 揮起國旗、3起奇蹟，為下一代拚出我們的未來 讓我們的教育之光，照亮高雄還黑暗的地方 讓我們高雄，再次偉大、再次繁華 讓台灣的自由民主與中道理性，從高雄再次綻放 謝謝高雄鄉親，我們明天見，我們後天見，我們下一個四年、下一個十年見。,https://www.facebook.com/photo.php?fbid=706028084210914&set=a.547433460070378&type=3,,,Photos from 柯志恩's post,,,,,"44,434",3.27
柯志恩,KoChihEn,100044111871935,PERSON,TW,我是柯志恩，你認識的我，可能是節目主持人、可能是教授、可能是學務長、可能是立法委員，目前的角色就是在高雄打拚的一介市民。,2016-02-01 05:49:54,106175,111541,2022-10-03 08:00:40 CST,2022-10-03,08:00:40,Native Video,"42,630",36460,2730,1319,278,16,66,10,44,1707,owned,Yes,212413,203051,0,00:06:45,https://www.facebook.com/100044111871935/posts/666205184859871,【930柯志恩演講六分鐘搶鮮版】 感謝高雄鄉親日前相挺，無論是親身到夢時代現場或是在線上觀看，和我一起見證國旗海再現的榮景！ 這幾天有很多熱情的朋友私訊希望能看到完整的演講影片，但因為原始檔案很多也很大，所以先從委託轉播單位的直播影片來擷取一部分，製作搶鮮版，讓大家重溫當天的內容！ 之後會再推出完整版影片，敬請期待👊 *因應網友反應調降語速,https://www.facebook.com/KoChihEn/videos/1443578349498459/,,,,,,,,"42,630",7.34
柯志恩,KoChihEn,100044111871935,PERSON,TW,我是柯志恩，你認識的我，可能是節目主持人、可能是教授、可能是學務長、可能是立法委員，目前的角色就是在高雄打拚的一介市民。,2016-02-01 05:49:54,95199,100666,2022-07-03 21:10:12 CST,2022-07-03,21:10:12,Photo,"36,138",27169,4474,630,140,26,87,11,29,3572,,-,0,0,0,N/A,https://www.facebook.com/100044111871935/posts/604695637677493,網路天空不能乾淨一點嗎？ 自被提名參選高雄市長，短短幾日就連番遭到側翼、網軍、假帳號，甚至被起底的政治打手不亂騷擾詆毀，一般的無聊謾罵也就罷了，沒想到竟對我最在乎的人格及學術名譽進行汙衊，真是孰可忍，孰不可忍！ 電視台政論節目，永遠是一個負面的訊息附上一個問號（規避法律責任），然後來做討論，過去都認識的電視名嘴，根據設定的前題來談柯志恩這個人，你們嘴巴形容的是你們真實接觸過的我嗎？ 當受辱的一方要做出辯駁時，就搬出「政治人物要經得起檢驗」作為冠冕堂皇的藉口，你們以扭曲的事情自問自答，前題設定已有偏見，又何來公平的答案？更何況你們並非真心要釐清真相、客觀討論，而是故意搬弄是非、誇大扭曲、誤導觀眾，以達到帶風向的目的。例如一字口誤就被放大到似乎犯了什麼過錯，好像你們或其他綠營政治人物從未講錯話！自以為扮演＂上帝＂，把藍營政治人物一字失言都可當成世間大罪進行審判，如此心態實可鄙可笑！難道就你們幾位就這麼完美無瑕？！ 然而，最可惡的還是躲在鍵盤後的假帳號，不敢在光天化日以真名留言，為其言論負責，卻只隱藏在網路的陰暗角落，以惡毒不實的言論暗箭傷人或進行網路霸凌。從過去無數次選舉的經驗，對候選人破壞形象、栽贓抹黑，不就是網軍最擅長也是最廉價的選戰模式？連副總統賴清德也曾指名「總統的網軍不要再攻擊抹黑」？ 事實上，我不是沒有思考過，一個選舉成精的政黨，除了經常黨內廝殺刀刀見骨，甚至對其黨內要角同志都毫不留情，這個政黨對任何想要挑戰高雄市的競爭對手，又怎會客氣手軟？更何況這幾年來藉由掌握龐大的行政資源，對在野黨無情的政治追殺，更對異議者施以恫嚇、法辦、查水錶等手段，最近NCC又以25億元成立專責機構，想將包括臉書、YouTube等網路平台一一納管，一葉知秋，執政黨對權力的競逐有多麼激烈，又多麼擔心因對手的挑戰而讓他們有失去權力的恐懼？ 柯志恩參選的目的是希望使高雄更好，彰顯我們對一座偉大城市的治理想像，同時立下典範，打一場美好的選戰，競爭是要相互激勵，不是要毀滅對方，更不是要踐踏別人、成就自己。希望那些成立假帳號發動匿名攻擊的主子可以休矣！難道台灣是幽靈治國嗎？你們治理下的網路天空不能乾淨一點嗎？掌權的影舞者若要靠假名假帳號創辦一個幽靈劇場，只有自失格調，留下歷史惡名，最終令人唾棄！柯志恩非常厭惡網路霸凌的闇黑手段，君子之爭，我陪！若想以此卑劣手段誹我、謗我、汙衊我，必循法律途徑討一公道，絕不妥協！,https://www.facebook.com/photo.php?fbid=604695121010878&set=a.547433456737045&type=3,,,,,,,,"36,138",2.66
柯志恩,KoChihEn,100044111871935,PERSON,TW,我是柯志恩，你認識的我，可能是節目主持人、可能是教授、可能是學務長、可能是立法委員，目前的角色就是在高雄打拚的一介市民。,2016-02-01 05:49:54,115569,121011,2022-10-30 19:12:50 CST,2022-10-30,19:12:50,Photo,"35,597",32372,1901,401,153,6,5,1,3,755,,-,0,0,0,N/A,https://www.facebook.com/100044111871935/posts/687194919427564,黃色和紅色，是今天誓師大會最美麗的顏色。 因為這代表現場的高雄鄉親，穿著雨衣、拿著國旗，也力挺到底。 謝謝您們願意挺身而出，讓全台灣都知道，高雄、南部，不是只有民進黨的聲音。 無論要踏破三雙、四雙、五雙鞋，不管上山下海、風吹雨打，只要鄉親願意挺下去，我就會用大港女兒乘風破浪的氣魄繼續拚下去！ 民進黨常說都是因為國民黨，南北差距才不斷擴大。 各位鄉親呀，民進黨在嘉義、台南、屏東、高雄都執政20多年，過去22年裡，民進黨在中央也執政14年，比國民黨執政的時間還多。 請問大家的生活有變得更好嗎？還是人口不見、財團進來，民進黨發大財？ 40年前，我搭火車離開南部，40年後我搭高鐵回到南部，從台鐵的車窗看到高鐵的車窗，這40年我看盡南北差距。 高雄過去何等榮耀？但如今人口卻已輸給台中。 陳其邁市長今天也在岡山舉辦造勢，他一定會用著講台、看著稿，細數冰冷的數字。 我想請問，政績是用念的，還是人民感受的？ 陳其邁市長一直說高雄15至24歲失業率最低，但卻絕口不提25至29歲失業率是六都最高。 我們15至29歲青年勞動人口流失的數量，陳其邁是韓國瑜的2倍，少了快3萬5千人。高雄的年輕人，用腳投票。 抬頭就是空污、低頭就是爛路、滿街都是租售、孩子都在北方。市長給民進黨做、總統也給民進黨做，我想請問民進黨是用什麼來回報我們南部人？ 民進黨做的這麼爛，做的這麼囂張，為什麼還要投給民進黨？雖然朱主席在現場，但我必須很誠實的跟大家說，就是因為過去國民黨失職、國民黨太弱、國民黨對南部關注有待加強。 但是今天，柯志恩 謝龍介 王育敏 蘇清泉 朱立倫 台灣公道伯 王金平 ，站在這邊，辦這場南方響起誓師大會。就是要告訴全台灣，國民黨對南部的重視，從我們開始，民進黨對南部的綁架，到此為止！ 柯志恩回來的比較晚，但是我承諾，柯志恩回來，時間絕對不會短。我會負起翻轉南部的力量，站在這個地方，告訴大家，國民黨會重新反省，一定會從街頭出發，一定會跟南部人民站在一起。 也懇請大家，一定要力挺我們的議員，支持這群最幫忙柯志恩的優質民代，讓議會過半，讓高雄成為南部的指標 我們鄭重宣誓，南方響起，人民的聲音將響徹雲霄，我們必將為人民，力守南部，重現藍天！,https://www.facebook.com/photo.php?fbid=687193952760994&set=a.547433460070378&type=3,,,Photos from 柯志恩's post,,,,,"35,597",2.62
柯志恩,KoChihEn,100044111871935,PERSON,TW,我是柯志恩，你認識的我，可能是節目主持人、可能是教授、可能是學務長、可能是立法委員，目前的角色就是在高雄打拚的一介市民。,2016-02-01 05:49:54,136403,141755,2022-11-27 07:54:07 CST,2022-11-27,07:54:07,Photo,"35,179",28792,2392,145,536,5,4,20,1,3284,,-,0,0,0,N/A,https://www.facebook.com/100044111871935/posts/706997344113988,柯志恩再次深深一鞠躬，由衷感謝所有高雄鄉親這4個多月以來的照顧和支持。 今明兩天，都會進行感恩車隊掃街，再次向偉大的高雄市民進行致敬。 謝謝各位一路以來的力挺！,https://www.facebook.com/photo.php?fbid=707116170768772&set=a.547433460070378&type=3,,,Photos from 柯志恩's post,,,,,"35,179",2.58
柯志恩,KoChihEn,100044111871935,PERSON,TW,我是柯志恩，你認識的我，可能是節目主持人、可能是教授、可能是學務長、可能是立法委員，目前的角色就是在高雄打拚的一介市民。,2016-02-01 05:49:54,95597,101065,2022-07-05 08:08:13 CST,2022-07-05,08:08:13,Photo,"34,996",28360,2769,269,210,11,26,3,12,3336,,-,0,0,0,N/A,https://www.facebook.com/100044111871935/posts/605602084253515,奔向高雄、擁抱夢想！ 接下來不到5個月的時間， 我要用最大誠意、努力和認真， 感動自己、感動每一位高雄人！ 讓我們一起改變高雄， 讓這座美麗的城市更宜居幸福、充滿希望！,https://www.facebook.com/photo.php?fbid=605602050920185&set=a.547433456737045&type=3,,,,,,,,"34,996",2.57
