Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253987,294278,2022-11-27 01:42:03 CST,2022/11/27,01:42:03,Status,"7,408",6749,491,29,93,17,3,5,1,20,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/718579856290259,#地震 #安全回報 各位市民家人，稍早發生了有感地震，不排除可能還有餘震，請大家務必注意自身安全，也請大家回報各地區是否安好🙏,https://www.facebook.com/photo.php?fbid=718581469623431&set=a.546783853469861&type=3,,,,,,,,4.22
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,255091,295383,2022-11-27 14:34:14 CST,2022/11/27,14:34:14,Photo,"28,580",27020,915,123,348,1,6,0,2,165,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/718908982924013,今天謝票，明天上工！ #燕子感恩車隊 一早出發，正在台中跑透透，親自感謝市民家人站出來決定台中的未來。 在車上我看到幾位市民家人，眼眶含著淚，向我揮手，感謝大家一路走來那麼疼惜秀燕，有你們真好！接下來我們還要一起守護台中。 明天禮拜一，秀燕要銷假上工了！請假的這幾天，心心念念還是市政，年終將近有很多市政工作要進行。 我們跑起來！加快腳步！認真服務！,https://www.facebook.com/photo.php?fbid=718908386257406&set=a.546783853469861&type=3,,,Photos from 盧秀燕's post,,,,,4.02
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253987,294278,2022-11-26 10:42:59 CST,2022/11/26,10:42:59,Photo,"19,067",18069,658,53,159,0,7,0,3,118,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/718097816338463,台中早安，秀燕一早已經完成投票。 出門時，天氣很好，正好適合投票，秀燕要鼓勵大家踴躍投票，行使公民權。 提醒大家，今天禁止拉票宣傳、投票時也不能穿戴候選人有號次名字或圖樣的口罩及服飾，我們相互提醒讓投票順利進行。 秀燕特別感謝犧牲假日，到投票所服務的人員，大家的付出，讓投票順利進行，大家辛苦了。,https://www.facebook.com/photo.php?fbid=718097233005188&set=a.546783853469861&type=3,,,Photos from 盧秀燕's post,,,,,2.68
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253987,294278,2022-11-26 16:36:11 CST,2022/11/26,16:36:11,Live Video Complete,"18,610",12585,4419,197,1253,5,24,3,22,102,owned,Yes,95606,99610,0,03:15:29,https://www.facebook.com/100044147541030/posts/3499646070269846,#直播中⚡️ 燕子總部開票之夜 感謝所有的市民家人，勇敢站出來 #守護台中 選舉結果是台中市民共同的勝利。 所有人都要繼續為台中努力！ 台中好，台灣會更好💗 📍燕子總部 台中市大里區國光路二段321號,https://www.facebook.com/LuShiowYen/videos/3499646070269846/,,,#直播中⚡️  燕子總部開票之夜,,,,,10.44
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253987,294278,2022-11-26 22:06:47 CST,2022/11/26,22:06:47,Photo,"60,683",55211,3957,322,833,4,10,2,9,335,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/718460426302202,感謝台中的市民家人，秀燕謝謝您。 不管投給誰都是投給台中未來 投給秀燕，謝謝您的肯定 沒投給我，謝謝您的監督 守護台中，秀燕一定更努力。 秀燕要感謝好多人，秀燕順利連任不是我的功勞，是所有朋友一起打贏這場選戰。 秀燕感謝所有參選的好朋友，市長兩位競選夥伴，蔡其昌副院長及陳美妃女士，以及不分政黨的議員及里長候選人，我相信每個人願意參選都是因為愛台中，都是想為自己的故鄉打拚，唯有大家一起來，台中才會更好，只要是對台中市有幫助，秀燕都會努力實現。 秀燕也要感謝「燕子主委團」、「百工百業後援會」。市民是台中的主人，我們突破過去選戰的框架，邀請市民朋友擔任我競選總部的主委，有人為了幫我拜票，走到足底筋膜炎，有人走到中暑感冒發燒，但從來沒有一個人跟我抱怨，很多人說我很堅強，那是因為我的燕子團隊志工朋友都很強大，我怎麼能喊苦。 我也要謝謝歷任縣市長、議長和議員們，大家不嫌棄我，如果盧秀燕過去四年有一點點成績，是因為他們為台中市打下很好的基礎，他們把機會和希望寄託在我的身上。 秀燕更要謝謝我的七位競選總幹事， 江啟臣 好立委 楊瓊瓔 顏寬恒 陳政顯 黃健豪-北屯漸好 吳瓊華 顏文正 無私奉獻、運籌帷幄非常辛苦，當中有人正在辛苦競選議員，他們在我總部的時間，比他們在自己的總部時間還多，因為他們知道台中要贏，需要團結的力量，全心全意幫我輔選。 秀燕還要感謝所有燕子總部的同仁。他們此時都在工作中，有人在努力寫稿、有人在幫忙轉播，也有人在接電話服務市民，他們全力以赴，日日夜夜努力，只為了打贏這場選戰。 還要感謝我的市政團隊，沒有優異的市政成績，再怎麼努力競選是很難贏，但是他們不是為了盧秀燕打贏選戰才努力四年，因為他們都了解市民是我們的家人，所以我們從市民視角，好好的建設、好好的服務，才為我打下勝選連任的基礎。 感謝太多說不完，唯有更努力做好媽媽市長，用我這一生中最大的努力，繼續守護這座美好城市，秀燕再次感謝大家，有你們真好！ 一個人走得快，大家一起可以走更遠。 守護台中，我們牽起手，走下去！,https://www.facebook.com/photo.php?fbid=718459686302276&set=a.546783850136528&type=3,,,,,,,,8.53
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253753,294052,2022-11-25 12:46:57 CST,2022/11/25,12:46:57,Photo,"6,458",5932,312,79,45,0,2,0,3,85,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/717419419739636,搭雙十公車，作伙來挺燕！ 明天就是投票日。 今天晚上我們在「原太原夜市空地」，舉辦 #市長只有媽媽好 選前之夜。 秀燕要邀請所有的市民朋友，到現場為台中加油！為秀燕加油！共同宣誓我們 #守護台中 的決心！ 秀燕推動的雙十公車，便利市民朋友出行，今晚推薦大家搭乘雙十公車抵達會場。 🚌鄰近公車路線： 20 弘光復健醫院 88 台中市廍子非營利幼兒園 86 澄清/弘光醫院(太原路) 246 澄清/弘光醫院(太原路) 🚙 鄰近停車場：祥和停車場,https://www.facebook.com/photo.php?fbid=717418759739702&set=a.546783853469861&type=3,,,,,,,,-1.1
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253753,294052,2022-11-25 16:30:08 CST,2022/11/25,16:30:08,Photo,"3,723",3447,118,35,84,1,5,1,2,30,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/717527459728832,可愛到融化🥰 我們家的路易，已經加入 #守護台中 的行列。 今天晚上有 #市長只有媽媽好 選前之夜，路易邀請大家來參加。 明天就是投票日，路易也向大家拜票！ 拜託拜託❤️ - 選前之夜活動資訊： 📍北屯區太原路、和順路口（原太原夜市） ⏰11/25(五) 19:00 大集結 🚌鄰近公車路線： 20 弘光復健醫院 88 臺中市廍子非營利幼兒園 86 澄清/弘光醫院(太原路) 246 澄清/弘光醫院(太原路) 🔗台中公車動態這邊看： https://citybus.taichung.gov.tw:=:https://citybus.taichung.gov.tw/ 🚙 鄰近停車場：祥和停車場 台中市北屯區建和路一段9號,https://www.facebook.com/photo.php?fbid=717522759729302&set=a.546783853469861&type=3,,,,,,,,-1.91
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253753,294052,2022-11-25 19:44:28 CST,2022/11/25,19:44:28,Live Video Complete,"16,381",12098,2996,299,722,6,15,14,35,196,crosspost,Yes,102152,106680,141262,01:19:13,https://www.facebook.com/100044147541030/posts/1632528400495864,#直播中⚡️ 市長只有媽媽好！ 選前之夜．與你約定！ 守護台中．守護秀燕 選前之夜．與你約定！ 4年來，我們日以繼夜地拚， 因為我們看見台中發展的潛力 因為我們知道台中還能更好 因為台中就是我們的家 所以不論遇到「百年大疫」、「百年大旱」 台中沒有停下發展的腳步 我們做到「建設更多、舉債變少」 我們做到「中央評比11項經濟指標全國第一」 我們做到「多項評比全國最宜居、最幸福的城市」 這就是我們守護台中的決心。 11月25日選前之夜，感謝所有的市民朋友 為秀燕站出來，為台中站出來 我們一起再次約定「守護台中」 選前之夜活動資訊： 📍北屯區太原路、和順路口（原太原夜市） ⏰11/25(五) 19:00 大集結,https://www.facebook.com/LuShiowYen/videos/1632528400495864/,,,#直播中⚡️ 市長只有媽媽好！  選前之夜．與你約定！,,,,,9.19
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253753,294052,2022-11-25 21:43:21 CST,2022/11/25,21:43:21,Live Video Complete,"5,867",4975,558,56,174,0,5,1,6,92,owned,Yes,19864,20013,0,00:18:36,https://www.facebook.com/100044147541030/posts/661101762220019,#直播中⚡️ 最後衝刺！秀燕電話拜票中 今天晚上最後任務：電話打3通、再多拉3票、明天投3號。 #市長只有媽媽好 #守護台中,https://www.facebook.com/LuShiowYen/videos/661101762220019/,,,#直播中⚡️ 最後衝刺！秀燕電話拜票中,,,,,3.29
盧秀燕,LuShiowYen,1.00044E+14,POLITICIAN,TW,"我是台中市長盧秀燕。
歡迎您和我一起打造富市台中新好生活！",2011/6/24,253753,294052,2022-11-25 22:46:26 CST,2022/11/25,22:46:26,Photo,"22,457",21027,788,121,239,1,9,1,8,263,,-,0,0,0,N/A,https://www.facebook.com/100044147541030/posts/717748639706714,我最親愛的市民家人 我們一起走到這一天，投票的前一天。 謝謝大家在大雨中仍留在晚會現場 為守護台中、為守護秀燕淋得一身濕 秀燕想跟大家分享一段往事。 大智路貫通，市民等了13年， 歷經了不知道多少次的抗爭。 4年前，秀燕剛上任， 接下了貫通大智路的任務。 我與市府同仁商議， 拜託同仁與所有權人交朋友、將心比心 接下來幾個月的時間，我們一戶戶溝通 傾聽每一戶的需求，為他們解決問題。 最終我們沒有動用任何的強制力 在所有的屋主簽署同意下 順利拆除舊大樓，將大智路貫通。 從那天開始，有些市民朋友開始叫我「媽媽市長」。 後來我們遇到全世界嚴重的新冠疫情 有些市民家人開始確診，需要照顧 我想起媽媽照顧自己生病孩子 就是要隨時能陪伴在他身邊 我們開了200多場的記者會 開直播讓大家看見秀燕在 秀燕陪伴著大家。 也把正確的防疫知識、疫情動態讓市民了解。 恢復老人健保補助、推動生育津貼翻倍、公托公幼倍增、推動雙十公車、小黃公車、動工國際會展中心、綠美圖、復工東豐快速道路一件一件的累積，把市民家人照顧好，也越來越多市民朋友叫我「媽媽市長」。 當大家叫我一聲「市長媽媽」，讓我感受到4年的努力太值得了。 因為市民肯定我「守護城市」「照顧市民」 讓我贏得市民的信任。 讓市民把我當靠山、把我當家人。 所以我決定參選連任，要讓台中繼續幸福下去。 我要照顧我的市民家人，我就必須爭取連任。 有人問，這次選風如此惡劣 為什麼我不反擊？ 因為我把台中當成我的家 家和才能萬事興 如果為了選舉大家互相攻擊， 就如同家裡有兩個大人在吵吵鬧鬧 我要讓台中這個家庭「家和萬事興」 只要秀燕不回嘴，就吵不起來 秀燕以身作則，給孩子做榜樣 明天我們要守護台灣最大的價值，叫做「正直」 明天我們要守護台灣最大的黨派，叫做「正派」 明天我們要守護台灣最重要的風向，叫做「正向」 您的一票可以決定台中的未來 您的一票可以決定台灣的價值 明天我們一起站出來， 守護台中，我們堅持！ 靠我們自己來守護。,https://www.facebook.com/photo.php?fbid=717757153039196&set=a.546783853469861&type=3,,,Photos from 盧秀燕's post,,,,,3.15
