Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
黃偉哲,taiwanweicher,100044556451021,POLITICIAN,TW,"台南特有種，如你如我，道地原生。

",2011-07-08 08:20:31,254441,297543,2022-07-15 19:36:51 CST,2022-07-15,19:36:51,Photo,"67,433",37956,5268,169,1634,116,27,8409,12,13842,,-,0,0,0,N/A,https://www.facebook.com/100044556451021/posts/575501733945037,謹遵您生前交代一切簡約，今天完成您的後事，功德圓滿。 我這幾十年因為從政，無法常伴您身邊盡孝，前天醫院傳來您病危只剩最後一口氣，我強忍悲傷情緒，在完成公務行程後，焦急趕去見您最後一面。 您叮嚀的「親民勤政」、「良善初心」，我不曾忘記，也會更努力，這是兒子對您的承諾。 謝謝您給了我生命、養育與疼惜，父子情緣58年，以後我再也沒有「爸爸」可以叫了……希望我會是您的驕傲。 千言萬語化成一句謝謝您，請爸爸放心隨著菩薩修行，我們會好好照顧媽媽。 刻在我心裡的名字：黃輝鍠，我的老爸。 請您在天上保佑台灣。,https://www.facebook.com/photo.php?fbid=575500623945148&set=a.509914220503789&type=3,,,,,,,,"67,433",19.76
黃偉哲,taiwanweicher,100044556451021,POLITICIAN,TW,"台南特有種，如你如我，道地原生。

",2011-07-08 08:20:31,254041,297197,2022-07-08 16:56:26 CST,2022-07-08,16:56:26,Photo,"29,253",15736,902,355,195,206,5,11683,9,162,,-,0,0,0,N/A,https://www.facebook.com/100044556451021/posts/570307297797814,感謝您對台灣的支持 我們共同懷念的摯友 日本前首相 安倍晉三（1954-2022） 請安息。,https://www.facebook.com/photo.php?fbid=570307234464487&set=a.509914220503789&type=3,,,,,,,,"29,253",8.57
黃偉哲,taiwanweicher,100044556451021,POLITICIAN,TW,"台南特有種，如你如我，道地原生。

",2011-07-08 08:20:31,258229,300786,2022-11-26 19:49:21 CST,2022-11-26,19:49:21,Photo,"25,313",20682,3941,144,161,11,46,10,105,213,,-,0,0,0,N/A,https://www.facebook.com/100044556451021/posts/669258617902681,感謝全體台南市民，讓進步的城市繼續前行。 感謝支持我的朋友們，您的熱情與鼓勵，是偉哲繼續打拚的動力；感謝沒有支持我的朋友們，您的批評與指教，我都會虛心接受，造就一個更好的台南。 感謝同為競選夥伴的許忠信教授、林義豐總裁、吳炳輝律師和謝龍介議員，你們對於政見規劃的用心，都將成為未來城市願景的重要元素，讓我們共同成就一個完整而美好的台南。 由於蔡英文總統、賴清德副總統以及行政院蘇貞昌院長的大力支持，中央和地方齊心齊力，締造了台南的進步。 我要特別感謝市府團隊的打拚，也要向辛苦的競選團隊：黃崑虎總會長、陳唐山主委、韓良誠團長、林聖哲總幹事以及六區總督導賴惠員、郭國文、陳亭妃、王定宇、林宜瑾、林俊憲立委，以及市黨部潘主委和全體市議員表達感謝。 在故鄉打拚、血液才會沸騰，親愛的市民朋友們，我們會檢討改進，承諾一個宜居而光榮的城市，開創發光發熱的台南時代。 感謝大家，謝謝各位。,https://www.facebook.com/photo.php?fbid=669259284569281&set=a.509914220503789&type=3,,,Photos from 黃偉哲's post,,,,,"25,313",7.42
黃偉哲,taiwanweicher,100044556451021,POLITICIAN,TW,"台南特有種，如你如我，道地原生。

",2011-07-08 08:20:31,257971,300547,2022-11-24 16:13:48 CST,2022-11-24,16:13:48,Photo,"24,495",22626,906,174,358,21,168,2,16,224,,-,0,0,0,N/A,https://www.facebook.com/100044556451021/posts/667704748058068,謝謝妳，奶茶妹妹！ 車掃很辛苦，但有這杯全糖珍奶，就是最美好的祝福🧋,https://www.facebook.com/photo.php?fbid=667703754724834&set=a.509914220503789&type=3,,,Photos from 黃偉哲's post,,,,,"24,495",7.18
黃偉哲,taiwanweicher,100044556451021,POLITICIAN,TW,"台南特有種，如你如我，道地原生。

",2011-07-08 08:20:31,255341,298353,2022-08-02 22:54:12 CST,2022-08-02,22:54:12,Photo,"17,910",17010,439,177,213,0,8,1,7,55,,-,0,0,0,N/A,https://www.facebook.com/100044556451021/posts/587112599450617,歡迎裴洛西議長訪台 自由世界共同的民主價值，不應該受到威脅。台灣是自主的國家，我們會團結守護民主的家園。 ——台南市長·黃偉哲,https://www.facebook.com/photo.php?fbid=587112289450648&set=a.509914220503789&type=3,,,,,,,,"17,910",5.25
黃偉哲,taiwanweicher,100044556451021,POLITICIAN,TW,"台南特有種，如你如我，道地原生。

",2011-07-08 08:20:31,254041,297197,2022-07-08 11:25:02 CST,2022-07-08,11:25:02,Photo,"16,578",10791,622,178,133,102,4,2032,11,2705,,-,0,0,0,N/A,https://www.facebook.com/100044556451021/posts/570154651146412,「台灣有事即日本有事」，每個台灣人都記得安倍先生對台灣的關心，希望他能撐過難關，我們台灣人衷心為他祈福。 「台湾有事は日本有事」という台湾への思いを、台湾人は一刻も忘れることはありません。安倍元総理のご無事を心からお祈りしております。,https://www.facebook.com/photo.php?fbid=570154561146421&set=a.509914220503789&type=3,,,,,,,,"16,578",4.86
黃偉哲,taiwanweicher,100044556451021,POLITICIAN,TW,"台南特有種，如你如我，道地原生。

",2011-07-08 08:20:31,256267,299175,2022-09-09 11:26:52 CST,2022-09-09,11:26:52,Photo,"16,295",15054,642,377,136,45,25,2,2,12,,-,0,0,0,N/A,https://www.facebook.com/100044556451021/posts/611914706970406,連假第一天，就來看米奇帶著迪士尼好朋友們來台南啦！ 台灣第一座15公尺高的巨型水上TsumTsum，中秋賞景就來安平遊憩碼頭！ 還有浪漫的米奇光球森林、主題快閃店、迪士尼主題拍照牆，一起迎接「迪士尼慶典在台南」！ 活動日期：2022/09/09-10/30 活動時間：平日12:00-20:00 / 假日10:00-20:00 活動地點：安平遊憩碼頭水域及廣場,https://www.facebook.com/photo.php?fbid=611914396970437&set=a.509914220503789&type=3,,,,,,,,"16,295",4.77
黃偉哲,taiwanweicher,100044556451021,POLITICIAN,TW,"台南特有種，如你如我，道地原生。

",2011-07-08 08:20:31,255112,298126,2022-07-30 23:02:16 CST,2022-07-30,23:02:16,Photo,"15,870",13242,387,161,50,28,1979,1,6,16,,-,0,0,0,N/A,https://www.facebook.com/100044556451021/posts/585155626312981,這組合差點沒把殭屍嚇跑... 地獄展首場午夜Cosplay活動，陣容精彩華麗程度堪比任天堂的明星大亂鬥，有唐僧、寜采臣、死神、有桔梗還有鬼殺隊，生而為殭屍，可能真的感到很抱歉。 午夜Cosplay還有兩場，邀請你也來玩得開心愉快！ Icu醫生陳志金 黃捷 高雄市議員 劉宇 盾牌牙醫史書華 台灣帝雉 杜承哲醫師 皮筋兒 Journey 史佳霖喬韓森 麻的法課 - 邱豑慶醫師 黃瓊慧 桃園觀察日記 郭鬼鬼 Angela,https://www.facebook.com/photo.php?fbid=585152392979971&set=a.509914220503789&type=3,,,Photos from 黃偉哲's post,,,,,"15,870",4.65
黃偉哲,taiwanweicher,100044556451021,POLITICIAN,TW,"台南特有種，如你如我，道地原生。

",2011-07-08 08:20:31,255691,298661,2022-08-23 07:51:50 CST,2022-08-23,07:51:50,Photo,"15,455",10366,547,77,182,10,5,2917,21,1330,,-,0,0,0,N/A,https://www.facebook.com/100044556451021/posts/600275224801021,敬愛的弟兄，請安息。 家裡的事情，市府會全力照顧。 臺南市長 黃偉哲 2022.08.23,https://www.facebook.com/photo.php?fbid=600274188134458&set=a.509914220503789&type=3,,,,,,,,"15,455",4.53
黃偉哲,taiwanweicher,100044556451021,POLITICIAN,TW,"台南特有種，如你如我，道地原生。

",2011-07-08 08:20:31,248788,292179,2022-04-29 11:04:44 CST,2022-04-29,11:04:44,Photo,"14,586",11188,983,58,53,175,55,12,4,2058,,-,0,0,0,N/A,https://www.facebook.com/100044556451021/posts/524461225715755,是的，我進行居家隔離了。 昨天深夜，衛生局通知我，我曾和確診者同桌共餐。市府以高規格防疫態度謹慎以待，我仍自主進行3+4居家隔離措施，居家隔離3天，加上4天自主防疫。 我也立即進行快篩，結果，是陰性。 市政和防疫工作，我會透過 #視訊與通訊進行，市府運作不斷電，防疫記者會照常舉行，天天向您報告。 不能出席的活動，也請大家見諒。 還有，能不能建議我，居家隔離期間可以做什麼事情?,https://www.facebook.com/photo.php?fbid=524461185715759&set=a.509914220503789&type=3,,,,,,,,"14,586",4.27
